,ADANIPORTS,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJFINANCE,BAJAJFINSV,BPCL,BHARTIARTL,BRITANNIA,CIPLA,COALINDIA,DIVISLAB,DRREDDY,EICHERMOT,GAIL,GRASIM,HCLTECH,HDFCBANK,HDFCLIFE,HEROMOTOCO,HINDALCO,HINDUNILVR,HDFC,ICICIBANK,ITC,IOC,INDUSINDBK,INFY,JSWSTEEL,KOTAKBANK,LT,M&M,MARUTI,NTPC,NESTLEIND,ONGC,POWERGRID,RELIANCE,SBILIFE,SHREECEM,SBIN,SUNPHARMA,TCS,TATAMOTORS,TATASTEEL,TECHM,TITAN,UPL,ULTRACEMCO,WIPRO
2004-11-23,,290.75,156.35,,129.15,,,164.05,716.05,267.35,,1175.05,791.1,225.45,208.25,1125.1,367.0,486.8,,439.05,1283.95,130.2,729.3,325.4,1192.3,445.4,47.05,2030.75,13.73,232.45,850.05,471.4,386.9,75.8,544.55,803.25,,,,219.8,516.2,514.55,1235.9,444.6,311.6,,180.25,,277.4,715.25
1995-04-27,,595.0,,,,,,,250.0,,,,,59.0,,575.0,,,,,820.0,555.0,2000.0,,255.0,,,,,,252.5,305.0,,,358.75,,,,,,,237.5,,465.0,206.25,,,,,370.0
2019-06-12,424.5,1425.55,812.35,2949.25,3510.1,8226.25,381.25,359.8,2993.3,561.05,256.9,1535.6,2590.35,20067.0,310.25,888.4,1106.55,2427.4,,2732.9,199.9,1844.7,2183.3,418.0,280.0,162.5,1567.75,753.95,271.25,1482.7,1509.2,632.5,6848.5,134.3,11713.75,170.45,191.0,,,20546.85,344.2,391.65,2258.45,169.0,505.6,747.4,1285.45,,4571.0,298.0
2001-04-09,,251.15,31.65,,,,,,674.85,993.8,,,950.65,24.0,53.0,291.1,370.25,225.3,,139.9,774.3,214.5,554.25,168.35,844.5,163.0,13.5,3961.25,4.65,52.0,230.6,120.4,,,520.1,130.0,,,,34.15,200.05,549.95,,66.35,126.7,,44.45,,,1100.9
2019-07-30,373.3,1508.1,706.55,2460.55,3250.1,7073.7,335.7,345.6,2617.5,520.15,199.75,1658.7,2562.05,16159.2,129.05,762.15,1023.85,2253.35,,2259.35,190.1,1719.45,2128.35,424.95,269.0,133.55,1336.9,792.8,230.35,1498.0,1376.45,548.75,5507.35,127.35,11531.2,138.8,208.35,,,20800.1,327.5,410.5,2179.0,133.45,414.7,640.3,1079.05,,4319.05,262.2
1999-07-29,,345.0,17.0,,31.5,,,,1315.05,1878.0,,,922.2,31.7,71.65,293.3,,85.0,,1426.0,846.0,2720.0,2472.75,35.0,1007.0,412.05,19.35,4850.0,4.0,26.25,325.5,370.5,,,604.1,196.55,,,,40.5,256.75,508.5,,239.1,138.7,,109.4,,,5122.0
2010-11-12,152.4,2629.2,1491.45,1580.6,779.6,454.05,730.1,306.05,423.9,329.9,319.9,696.5,1741.9,1282.0,486.4,2293.75,400.95,2319.3,,1816.55,223.0,301.55,713.7,1202.5,173.8,403.45,283.7,2999.25,1279.7,477.35,2079.8,774.4,1455.15,192.15,3819.5,1306.8,99.6,,,2235.7,3030.4,2319.05,1057.35,1245.55,606.3,728.55,3953.85,,1103.6,425.2
2014-03-19,185.6,512.6,1386.15,2007.0,1664.25,705.5,,299.3,855.1,383.65,263.3,1414.2,2801.05,5755.1,360.1,2741.75,1402.0,737.8,,2117.15,119.95,561.55,866.5,1210.25,359.55,260.95,478.95,3271.55,972.05,762.85,1246.65,982.1,1870.5,116.0,4824.35,314.3,102.2,,,5209.45,1707.35,585.0,2040.95,384.55,356.3,1776.55,254.7,,1975.65,545.0
1992-04-02,,450.0,,,,,,,475.0,,,,,,,630.0,,,,,675.0,450.0,2050.0,,850.0,,,,,,375.0,170.0,,,385.0,,,,,,,,,515.0,665.0,,,,,650.0
2009-01-02,330.6,897.85,542.6,417.2,64.4,158.0,363.55,704.8,1332.85,191.5,,1342.45,468.65,240.05,207.65,1211.55,122.15,1015.8,,792.75,55.95,247.45,1544.95,471.2,174.05,428.65,41.85,1130.95,237.6,391.75,822.6,287.45,543.0,184.0,1476.05,680.05,84.4,,,472.55,1330.0,1048.25,497.3,175.35,229.65,273.7,952.4,,389.05,242.9
2010-08-17,789.9,2629.05,1330.5,2653.2,611.95,470.75,673.75,315.95,2022.2,305.15,,719.25,1335.0,1100.85,452.7,2004.0,397.0,2122.65,,1905.05,168.3,265.6,3011.45,960.1,159.35,386.2,219.0,2752.3,1111.9,834.4,1775.5,621.6,1253.15,195.05,2741.05,1258.2,105.0,,,1821.15,2818.15,1712.25,850.7,1005.5,513.85,714.75,2946.35,,896.3,412.5
1996-11-15,,315.75,,,47.75,,,,,385.25,,,222.5,26.0,,397.0,,39.25,,235.0,582.5,803.0,2311.25,,271.75,,,700.0,5.6,76.75,225.5,322.0,,,221.0,168.75,,,,24.0,222.25,,,410.0,167.25,,106.75,,,
2019-07-10,404.5,1322.85,768.5,2741.9,3426.55,7662.75,349.6,358.35,2768.8,544.65,233.5,1623.1,2583.95,18773.55,144.9,913.85,1018.9,2386.25,,2400.15,194.6,1717.85,2227.4,430.95,273.35,148.15,1487.75,716.9,254.95,1475.6,1499.15,621.3,5928.7,129.1,11554.6,151.65,205.25,,,21201.65,354.2,392.05,2107.7,151.4,454.6,674.6,1101.2,,4479.65,266.8
1999-07-13,,348.0,16.55,,32.0,,,,1290.0,1750.0,,,862.0,38.05,69.65,358.0,,87.0,,1150.5,921.0,2440.0,2470.0,39.5,1048.0,456.7,22.85,4284.5,4.6,26.6,356.9,359.9,,,547.0,173.3,,,,44.3,283.2,467.35,,296.0,164.0,,96.35,,,4195.25
1995-02-08,,565.0,,,,,,,300.0,,,,,65.0,,680.0,,,,,1020.0,590.0,2200.0,,320.0,,,,,,225.0,360.0,,,400.0,,,,,,,240.0,,505.0,226.25,,,,,
2010-07-16,754.7,2456.7,1359.1,2409.1,545.25,415.3,660.55,298.7,1940.3,330.55,,784.2,1478.75,949.45,441.75,1833.9,373.2,2038.7,,1978.65,150.15,266.05,3020.7,902.45,298.35,377.7,212.35,2778.3,1100.8,782.95,1870.85,604.1,1379.55,198.25,3019.65,1255.45,100.2,,,1932.1,2441.15,1739.7,832.4,831.6,509.2,769.8,2670.0,,845.45,402.25
2020-01-02,383.45,1790.25,757.25,3118.75,4248.3,9505.7,487.45,455.0,3053.3,473.7,211.05,1825.25,2864.1,21610.85,123.45,766.6,573.45,1286.65,,2429.25,220.2,1938.15,2466.2,540.7,239.8,127.0,1528.95,734.7,276.5,1671.45,1345.0,539.9,7331.8,121.35,14724.75,128.0,195.2,,,21222.05,339.3,435.35,2157.45,193.85,484.95,766.0,1155.45,,4242.85,248.25
2006-11-08,,700.6,431.9,,431.95,,377.95,543.0,1114.6,267.1,,2771.3,778.25,398.6,252.0,2766.05,603.25,1002.3,,712.75,187.9,246.55,1521.05,783.3,185.25,498.5,45.75,2126.0,334.3,360.0,1312.35,780.05,937.25,128.7,1040.2,855.45,,,,1306.55,1128.0,909.95,1062.25,802.2,493.85,991.75,741.0,,889.3,534.7
1995-10-06,,652.0,,,,,,,,,,,,47.0,,608.0,,,,,1000.0,630.0,2700.0,,290.0,678.0,,,,,290.0,380.0,,,317.0,,,,,,227.0,273.0,,430.0,256.5,,145.0,,,468.0
2003-11-03,,281.45,73.95,,69.3,,347.65,86.55,562.0,1242.0,,883.75,1312.35,177.1,169.35,883.95,235.5,318.4,,370.8,1186.75,182.2,524.9,259.45,885.55,345.25,25.8,4984.15,12.68,357.25,420.35,353.7,348.3,,573.3,609.7,,,,101.8,475.75,547.65,,391.75,379.0,,119.85,,,1433.65
1999-11-17,,395.0,16.25,,32.75,,,,850.0,1355.05,,,1231.5,45.6,79.5,438.0,,91.5,,1185.0,798.0,2323.0,260.5,34.85,730.0,270.25,24.5,8130.0,6.8,57.1,388.0,380.0,,,523.75,217.0,,,,51.4,224.25,1311.9,,225.3,138.6,,102.5,,,1100.0
2010-01-29,594.55,1853.15,1025.5,1773.1,309.4,321.8,541.6,306.5,1567.85,317.3,,610.0,1125.25,560.2,394.5,2594.05,346.45,1630.85,,1558.7,147.25,244.1,2382.4,830.4,250.25,301.3,147.9,2476.7,988.5,779.9,1425.05,1019.4,1390.1,214.25,2558.9,1099.8,112.7,,,1983.75,2058.0,1469.45,735.45,694.35,569.0,970.45,1498.8,,929.4,647.4
1997-09-15,,326.75,,,35.0,,449.0,,331.25,752.0,,,281.75,15.2,148.0,352.75,,68.5,,648.0,978.0,1421.5,3289.25,,573.0,,,1427.75,6.7,41.0,232.5,414.5,,,266.75,338.5,,,,16.25,288.5,310.0,,357.75,184.25,,79.5,,,1369.25
1998-11-16,,299.0,,,29.05,,,,750.5,888.0,,,448.25,11.0,70.5,164.6,,54.7,,572.5,545.25,1604.5,2352.0,28.15,721.0,418.5,23.8,2383.5,3.3,19.4,152.4,164.6,,,418.5,190.4,,,,19.0,160.5,331.25,,138.7,91.05,,51.2,,,1780.0
2012-06-15,115.0,3885.75,1032.25,1527.55,889.5,649.3,740.65,311.9,525.7,308.65,339.95,924.55,1580.45,2056.35,334.15,2489.45,486.05,547.85,,2000.05,123.4,450.1,646.45,844.9,248.1,239.95,318.3,2520.05,650.8,581.3,1326.3,697.4,1108.0,150.1,4509.8,265.75,106.15,,,2650.0,2182.8,594.2,1271.45,240.05,413.4,698.4,217.8,,1448.5,397.85
1997-03-19,,294.25,,,46.25,,,,261.0,612.0,,,213.5,26.0,,373.0,,49.75,,305.0,954.0,981.5,2975.5,,407.5,,,1018.0,5.75,60.25,226.5,360.0,,,220.0,250.0,,,,20.0,307.75,267.5,,373.25,182.0,,58.75,,,384.0
2007-07-30,,853.25,639.0,,367.0,,304.25,892.15,1669.8,188.85,,6831.2,635.95,366.15,342.35,2946.85,307.95,1159.8,,686.45,166.15,208.75,1908.75,923.55,167.3,395.15,50.25,1988.25,727.15,715.5,2445.65,752.55,847.35,163.25,1165.6,904.55,,,,1242.15,1579.0,926.75,1137.75,707.2,647.3,1335.95,1097.55,,897.2,493.7
2002-09-25,,341.95,35.35,,49.0,,190.75,31.6,520.4,939.45,,,848.15,67.85,61.85,311.45,208.85,209.85,,270.1,554.65,176.15,589.5,137.55,656.8,209.0,14.8,3467.65,3.25,153.05,174.85,82.3,,,564.7,349.25,,,,45.15,231.8,567.25,,129.3,116.45,,55.35,,,1333.3
2011-04-05,156.5,2563.85,1427.35,1442.75,713.25,525.2,595.2,359.95,366.25,320.9,358.8,683.55,1639.25,1292.75,461.5,2557.25,486.5,2391.6,,1645.15,215.75,275.4,698.25,1110.0,184.1,324.9,271.85,3279.5,991.3,456.5,1667.35,732.75,1313.0,187.9,3679.0,296.1,104.95,,,1996.6,2793.9,448.25,1239.4,1279.85,634.3,718.45,3960.15,,1130.05,480.15
2017-04-28,326.9,1119.6,509.6,2868.35,1275.85,4568.65,719.25,354.6,3627.4,556.8,276.85,627.95,2599.15,26022.25,423.75,1153.5,812.3,1542.15,,3310.7,199.1,934.7,1537.05,278.5,278.6,439.85,1444.95,919.4,199.0,901.6,1748.05,1334.55,6525.5,164.4,6702.4,186.3,207.6,,,19262.6,289.45,642.55,2272.1,457.8,448.85,416.95,471.25,,4239.2,494.1
2005-05-30,,389.65,221.15,,230.75,,396.9,220.75,860.0,289.75,,1092.2,718.3,335.25,216.5,1130.4,359.35,540.3,,569.05,1133.4,144.5,759.5,389.7,1557.7,460.7,61.05,2227.65,311.55,346.45,1059.85,494.95,465.85,82.7,709.3,910.3,,,,357.05,662.35,535.3,1319.5,432.4,360.85,,299.2,,319.1,706.05
2004-12-14,,324.6,177.85,,124.85,,,199.65,850.55,286.3,,1256.35,818.4,228.35,241.7,1237.4,349.4,475.1,,507.4,1272.45,144.7,788.35,362.8,1279.5,499.85,52.05,2051.2,13.77,251.85,908.5,516.4,441.3,81.45,596.85,846.15,,,,245.1,603.1,489.05,1232.15,487.0,327.25,,171.1,,306.4,754.2
2018-05-11,411.65,1289.6,553.2,2816.45,1858.5,5339.95,399.35,385.7,5479.85,573.65,270.55,1198.25,1990.85,30861.15,342.65,1099.8,931.9,2010.65,,3616.15,242.4,1506.3,1921.2,311.1,283.9,169.4,1894.15,1181.0,323.55,1265.45,1387.05,869.0,8738.3,167.55,9506.6,187.3,207.2,,,16255.85,250.9,471.85,3460.6,330.75,606.65,665.65,956.15,,4063.15,271.9
2006-09-25,,662.05,352.75,,390.1,,383.4,474.05,1090.95,259.25,,2116.0,737.7,243.9,268.0,2469.2,556.85,878.5,,772.25,168.9,252.75,1391.35,660.15,184.3,526.85,44.4,1817.25,278.8,310.9,2610.25,661.05,926.4,126.75,1035.3,1167.55,,,,1030.25,971.2,927.45,1025.2,846.4,507.7,593.7,776.65,,874.95,514.35
2015-04-24,316.1,771.8,527.55,1996.85,4135.4,1354.45,780.5,399.25,2141.9,637.8,376.15,1773.2,3485.85,14710.8,369.1,3666.15,896.4,1006.6,,2352.55,131.25,889.55,1244.75,308.1,347.15,356.25,832.35,1996.25,957.05,1368.45,1679.6,1170.45,3539.8,150.15,6850.0,315.8,145.8,,,10001.75,275.65,947.8,2496.9,515.3,370.15,583.75,395.5,,2707.15,523.1
1993-05-24,,290.0,,,,,,,235.0,,,,,21.0,,403.75,,,,,660.0,377.5,1210.0,,482.5,,,,,,185.0,150.0,,,290.0,,,,,,,,,175.0,182.5,,,,,240.0
2003-11-12,,305.55,74.75,,74.3,,,85.05,548.45,1169.6,,907.3,1278.5,168.0,174.05,912.85,250.35,299.5,,383.05,1203.25,181.95,533.35,248.75,847.55,402.45,26.0,4849.95,14.77,345.0,418.0,338.55,342.9,,562.45,659.9,,,,118.75,477.8,595.65,,374.35,364.0,,113.15,,,1453.9
2019-08-20,355.1,1595.05,672.2,2742.85,3294.7,7231.75,342.55,358.15,2394.65,478.8,195.25,1520.5,2554.9,15897.95,127.35,729.4,1083.85,2222.0,,2669.3,179.3,1841.05,2090.8,417.15,246.55,124.25,1404.75,792.9,224.65,1506.1,1342.6,527.9,6198.75,118.0,11963.35,125.05,206.05,,,19023.7,283.65,420.8,2187.15,123.8,358.3,668.5,1092.95,,4033.45,253.35
1999-05-04,,220.0,12.7,,26.5,,167.9,,1558.9,1327.4,,,872.5,16.7,60.5,118.0,,66.0,,875.0,572.25,2040.85,2097.3,24.15,997.5,259.45,18.4,2770.0,2.9,15.35,217.9,225.3,,,512.5,115.3,,,,16.5,168.5,455.45,,145.0,97.0,,65.8,,,3942.35
2019-01-28,327.05,1379.2,655.95,2563.8,2456.2,6053.95,348.75,304.9,3196.1,491.95,224.75,1473.0,2624.2,19943.75,332.35,734.25,975.95,2083.55,,2602.0,199.85,1740.65,1948.6,343.45,274.65,137.95,1444.5,728.2,267.7,1261.15,1300.55,673.55,6508.55,138.4,11325.45,141.9,187.8,,,15028.55,281.6,411.55,1951.95,171.95,445.65,735.7,957.95,,3380.95,355.15
