,"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 25-Jan-2024"
75,ADANIGREEN,"1,037.25","1,065.00","1,006.00","1,030.25","1,009.00",-,-21.25,-2.06,"49,78,974",512.93,"2,174.10",870.25,-1.84,-39.21
76,UNITDSPR,"1,536.00","1,549.00","1,461.35","1,500.65","1,469.55",-,-31.1,-2.07,"19,68,647",292.56,"1,700.00","1,054.70",-6.07,-
77,PNB,99.25,99.79,96.51,99.43,97.34,-,-2.09,-2.1,"2,68,93,329",263.66,142.90,92.40,-3.96,-6.58
78,INDUSINDBK,970.85,973.00,948.25,970.95,950.00,-,-20.95,-2.16,"29,38,649",281.84,"1,576.35",926.45,1.66,-37.12
79,GAIL,178.81,180.09,175.34,179.66,175.71,-,-3.95,-2.2,"62,35,286",110.03,246.30,156.20,-11.22,6.31
80,UNIONBANK,109.92,110.00,106.50,109.70,107.22,-,-2.48,-2.26,"52,16,313",56.30,172.50,100.81,-9.19,-23.55
81,ABB,"6,360.00","6,379.90","6,152.30","6,330.25","6,174.00",-,-156.25,-2.47,"1,45,838",90.89,"9,149.95","4,340.30",-10.17,30.38
82,CIPLA,"1,445.25","1,451.00","1,408.00","1,451.15","1,415.00",-,-36.15,-2.49,"16,15,412",230.94,"1,702.05","1,312.00",-4.36,3.05
83,TATAMOTORS,750.05,754.15,732.20,752.50,733.40,-,-19.1,-2.54,"95,13,166",704.64,"1,179.00",717.70,-0.27,-9.58
84,APOLLOHOSP,"6,915.25","6,915.25","6,728.45","6,920.85","6,742.00",-,-178.85,-2.58,"3,17,194",215.44,"7,545.35","5,693.20",-6.84,9.34
85,ATGL,660.00,663.70,638.00,658.25,641.05,-,-17.2,-2.61,"4,69,301",30.41,"1,190.00",545.75,-4.39,-36.04
86,ADANIENSOL,814.00,816.00,781.00,808.80,787.00,-,-21.8,-2.7,"27,73,445",219.77,"1,348.00",588.00,2.48,-25.56
87,BHEL,207.00,208.66,199.50,206.49,200.80,-,-5.69,-2.76,"93,44,993",189.91,335.35,191.66,-16.36,-8.96
88,ZOMATO,221.00,221.00,214.60,221.95,215.45,-,-6.5,-2.93,"4,39,01,547",956.09,304.70,129.80,-21.56,58.35
89,BPCL,274.00,279.40,263.00,271.25,263.25,-,-8.0,-2.95,"1,84,80,516",500.05,376.00,231.65,-9.66,-44.39
90,ADANIENT,"2,387.75","2,406.00","2,299.40","2,385.00","2,314.05",-,-70.95,-2.97,"13,88,583",326.32,"3,743.90","2,025.00",-2.42,-19.99
91,ZYDUSLIFE,989.05,989.05,955.00,989.15,959.30,-,-29.85,-3.02,"7,80,860",75.29,"1,324.30",726.45,-0.75,30.02
92,M&M,"2,875.00","2,896.00","2,790.00","2,886.45","2,799.00",-,-87.45,-3.03,"26,65,366",758.32,"3,237.05","1,575.00",-4.35,71.29
93,SIEMENS,"6,050.00","6,067.00","5,834.20","6,067.85","5,880.00",-,-187.85,-3.1,"2,47,172",146.60,"8,129.90","4,029.45",-11.65,39.81
94,DLF,718.00,720.00,691.10,715.05,692.80,-,-22.25,-3.11,"34,32,119",242.09,967.60,687.05,-17.4,-8.36
95,PFC,421.30,423.70,407.10,421.25,407.95,-,-13.3,-3.16,"55,21,223",227.74,580.00,351.70,-9.49,-2.53
96,RECLTD,463.75,466.25,445.00,463.75,446.65,-,-17.1,-3.69,"67,38,912",304.88,654.00,408.30,-12.05,-5.08
97,HAVELLS,"1,595.30","1,605.95","1,517.55","1,595.30","1,533.45",-,-61.85,-3.88,"9,99,025",154.22,"2,106.00","1,280.00",-9.02,18.05
98,TRENT,"5,720.00","5,755.05","5,466.45","5,733.60","5,499.00",-,-234.6,-4.09,"11,19,070",627.17,"8,345.00","2,955.00",-21.65,69.89
99,JIOFIN,256.00,257.35,243.55,255.85,243.90,-,-11.95,-4.67,"3,83,79,153",951.96,394.70,237.10,-19.77,1.92
100,DRREDDY,"1,229.95","1,252.65","1,203.50","1,289.40","1,226.20",-,-63.2,-4.9,"70,82,467",868.02,"1,421.49","1,120.00",-9.36,-79.09
